FILE;Threads;Task;OF;nanoTime;min;sec;ms;ns
qa194.tsp.txt;8;100;9549.477712454473;2049943734;0;2;943;734
qa194.tsp.txt;8;100;9484.821524499517;1990409568;0;1;409;568
qa194.tsp.txt;8;100;9476.918272371327;2079718002;0;2;718;2
qa194.tsp.txt;8;100;9556.179869866133;2024427273;0;2;427;273
qa194.tsp.txt;8;100;9541.63761869831;2121968042;0;2;968;42
qa194.tsp.txt;8;100;9449.312630154844;2035897611;0;2;897;611
qa194.tsp.txt;8;100;9510.47979073623;2108958145;0;2;958;145
qa194.tsp.txt;8;100;9470.123753731235;2118937777;0;2;937;777
qa194.tsp.txt;8;100;9603.56228590872;1994591013;0;1;591;13
qa194.tsp.txt;8;100;9472.082580997507;2079605101;0;2;605;101
qa194.tsp.txt;8;100;9466.748666590842;2168747673;0;2;747;673
qa194.tsp.txt;8;100;9507.458504730479;2180668383;0;2;668;383
qa194.tsp.txt;8;100;9502.535506116796;2332553974;0;2;553;974
qa194.tsp.txt;8;100;9560.201168751411;2280321837;0;2;321;837
qa194.tsp.txt;8;100;9471.754197280145;2302024706;0;2;24;706
qa194.tsp.txt;8;100;9572.796040930845;2137687154;0;2;687;154
qa194.tsp.txt;8;100;9490.96808331326;2327379821;0;2;379;821
qa194.tsp.txt;8;100;9587.643664779842;2276917973;0;2;917;973
qa194.tsp.txt;8;100;9565.062449033076;2292754502;0;2;754;502
qa194.tsp.txt;8;100;9526.78970208536;2293707798;0;2;707;798
qa194.tsp.txt;8;100;9537.105888715063;2214081349;0;2;81;349
qa194.tsp.txt;8;100;9518.379959734197;2280910976;0;2;910;976
qa194.tsp.txt;8;100;9515.046839438892;2302850320;0;2;850;320
qa194.tsp.txt;8;100;9559.963708868934;2285904898;0;2;904;898
qa194.tsp.txt;8;100;9426.424898963041;2286065012;0;2;65;12
qa194.tsp.txt;7;100;9492.013069457298;2464679827;0;2;679;827
qa194.tsp.txt;7;100;9534.713595203515;2454289645;0;2;289;645
qa194.tsp.txt;7;100;9489.36338207301;2402229940;0;2;229;940
qa194.tsp.txt;7;100;9563.374867822115;2311761294;0;2;761;294
qa194.tsp.txt;7;100;9426.1097534545;2424785518;0;2;785;518
qa194.tsp.txt;7;100;9515.220687936648;2306807605;0;2;807;605
qa194.tsp.txt;7;100;9584.515025552326;2411713629;0;2;713;629
qa194.tsp.txt;7;100;9478.857616094634;2455063120;0;2;63;120
qa194.tsp.txt;7;100;9556.001962657017;2256801057;0;2;801;57
qa194.tsp.txt;7;100;9577.200821850689;2401199461;0;2;199;461
qa194.tsp.txt;7;100;9543.832733978628;2386599506;0;2;599;506
qa194.tsp.txt;7;100;9479.290680907236;2415280070;0;2;280;70
qa194.tsp.txt;7;100;9539.883184030292;2459584910;0;2;584;910
qa194.tsp.txt;7;100;9523.065550662708;2533466543;0;2;466;543
qa194.tsp.txt;7;100;9502.08995816171;2400127517;0;2;127;517
qa194.tsp.txt;7;100;9533.138653363145;2464117785;0;2;117;785
qa194.tsp.txt;6;100;9474.070368536382;2548658099;0;2;658;99
qa194.tsp.txt;6;100;9517.275030285438;2507558418;0;2;558;418
qa194.tsp.txt;6;100;9535.455241977324;2509337329;0;2;337;329
qa194.tsp.txt;6;100;9516.096746700778;2567754800;0;2;754;800
qa194.tsp.txt;6;100;9557.354316233774;2604881185;0;2;881;185
qa194.tsp.txt;6;100;9588.872547114435;2584911245;0;2;911;245
qa194.tsp.txt;6;100;9510.123659524346;2555369759;0;2;369;759
qa194.tsp.txt;6;100;9532.528450132686;2632207347;0;2;207;347
qa194.tsp.txt;6;100;9558.589048785534;2572571775;0;2;571;775
qa194.tsp.txt;6;100;9429.443161520532;2665145308;0;2;145;308
qa194.tsp.txt;6;100;9481.614276629103;2609515876;0;2;515;876
qa194.tsp.txt;6;100;9452.406651678719;2715888792;0;2;888;792
qa194.tsp.txt;6;100;9431.548425329858;2558711630;0;2;711;630
qa194.tsp.txt;6;100;9539.402563497308;2587264925;0;2;264;925
qa194.tsp.txt;5;100;9535.743123208562;2916614151;0;2;614;151
qa194.tsp.txt;5;100;9470.523093716942;2733762467;0;2;762;467
qa194.tsp.txt;5;100;9453.413604637746;2799487306;0;2;487;306
qa194.tsp.txt;5;100;9563.250813769977;2771768248;0;2;768;248
qa194.tsp.txt;5;100;9470.039748749952;2839292935;0;2;292;935
qa194.tsp.txt;5;100;9502.062421135626;2844599285;0;2;599;285
qa194.tsp.txt;5;100;9518.541180074099;2936782386;0;2;782;386
qa194.tsp.txt;5;100;9515.764364566778;2765839095;0;2;839;95
qa194.tsp.txt;5;100;9558.38839543467;2666721407;0;2;721;407
qa194.tsp.txt;5;100;9450.910986803496;2920684336;0;2;684;336
qa194.tsp.txt;5;100;9521.466816962939;2832942559;0;2;942;559
qa194.tsp.txt;5;100;9485.41128863008;2854927475;0;2;927;475
qa194.tsp.txt;5;100;9465.761829349534;2882648585;0;2;648;585
qa194.tsp.txt;5;100;9462.884578150379;2813050623;0;2;50;623
qa194.tsp.txt;5;100;9497.052517132273;2844942915;0;2;942;915
qa194.tsp.txt;5;100;9442.822234025574;2762351479;0;2;351;479
qa194.tsp.txt;5;100;9524.03942764331;3007419036;0;3;419;36
qa194.tsp.txt;5;100;9468.570176246845;2849644936;0;2;644;936
